hospital_id,hospital_name,vendor_name,drug_name,ndc,product_type,quantity,unit_price,order_date,contract_tier_applied
H001,City Medical Center,McKesson,Lisinopril,00093-1040-01,Generic,12000,0.68,2025-01-10,Tier1
H001,City Medical Center,McKesson,Metformin,00093-1048-01,Generic,8000,0.36,2025-02-05,Tier1
H001,City Medical Center,McKesson,Amoxicillin,65862-0015-01,OneStop,15000,0.34,2025-03-12,Tier1
H001,City Medical Center,McKesson,Lipitor,00071-0155-23,Branded Rx,5000,11.25,2025-03-15,Tier1
H002,Valley Health,McKesson,Amlodipine,00093-3171-01,Generic,5000,0.74,2025-01-15,Tier1
H002,Valley Health,McKesson,Unapproved Drug X,99999-999-99,Off-Contract,7000,4.00,2025-02-20,Tier1
H002,Valley Health,McKesson,Omeprazole,00093-5286-01,Generic,6000,0.96,2025-03-01,Tier1
H002,Valley Health,McKesson,Crestor,00310-0755-90,Branded Rx,3000,13.32,2025-03-10,Tier1
H003,Riverside Hospital,McKesson,Simvastatin,00093-7153-01,Generic,20000,0.62,2025-01-22,Tier2
H003,Riverside Hospital,McKesson,Metoprolol,00093-0733-01,Generic,18000,0.52,2025-02-11,Tier2
H003,Riverside Hospital,McKesson,Azithromycin,65862-0024-01,OneStop,22000,1.48,2025-03-09,Tier2
H003,Riverside Hospital,McKesson,Nexium,00186-5020-31,Branded Rx,8000,16.38,2025-03-20,Tier2
H003,Riverside Hospital,McKesson,Advair,00173-0695-00,Branded Rx,4000,40.50,2025-03-22,Tier2
H004,Lakeside Clinic,McKesson,Losartan,00093-7365-01,Generic,2000,0.88,2025-01-05,Tier1
H004,Lakeside Clinic,McKesson,Gabapentin,00093-0637-01,Generic,1500,0.76,2025-02-14,Tier1
H004,Lakeside Clinic,McKesson,Prednisone,65862-0096-01,OneStop,1200,0.22,2025-03-19,Tier1
H005,Mountain View Health,McKesson,Atorvastatin,00093-5057-01,Generic,9000,1.48,2025-01-17,Tier1
H005,Mountain View Health,McKesson,Unapproved Drug Z,88888-888-88,Off-Contract,5000,3.80,2025-02-10,Tier1
H005,Mountain View Health,McKesson,Sertraline,00093-0041-01,Generic,7000,0.58,2025-03-25,Tier1
H005,Mountain View Health,McKesson,Januvia,00006-0277-31,Branded Rx,4000,13.68,2025-03-28,Tier1
